Data da Extração,Procurador Responsável,Qtd_Processos
2025-12-01,Liz Guerra,2
2025-12-01,Leonardo Sales,2
2025-12-01,Francisco da Paz,0
2025-12-01,Luiz Miguel Albuquerque,2
2025-12-01,Brayan Teixeira,1
2025-12-01,Rafael Ramos,2
2025-12-01,Isabela da Paz,1
2025-12-01,Cecilia Costela,3
2025-12-01,Ana Laura Vargas,1
2025-12-01,Anthony Nogueira,1
2025-12-01,Benjamin Moraes,1
2025-12-01,Evelyn da Cruz,1
2025-12-02,Liz Guerra,1
2025-12-02,Leonardo Sales,1
2025-12-02,Francisco da Paz,2
2025-12-02,Luiz Miguel Albuquerque,1
2025-12-02,Brayan Teixeira,0
2025-12-02,Rafael Ramos,0
2025-12-02,Isabela da Paz,0
2025-12-02,Cecilia Costela,2
2025-12-02,Ana Laura Vargas,0
2025-12-02,Anthony Nogueira,2
2025-12-02,Benjamin Moraes,0
2025-12-02,Evelyn da Cruz,0
2025-12-03,Liz Guerra,0
2025-12-03,Leonardo Sales,0
2025-12-03,Francisco da Paz,1
2025-12-03,Luiz Miguel Albuquerque,0
2025-12-03,Brayan Teixeira,1
2025-12-03,Rafael Ramos,0
2025-12-03,Isabela da Paz,0
2025-12-03,Cecilia Costela,2
2025-12-03,Ana Laura Vargas,0
2025-12-03,Anthony Nogueira,1
2025-12-03,Benjamin Moraes,0
2025-12-03,Evelyn da Cruz,0
2025-12-04,Liz Guerra,1
2025-12-04,Leonardo Sales,0
2025-12-04,Francisco da Paz,1
2025-12-04,Luiz Miguel Albuquerque,1
2025-12-04,Brayan Teixeira,1
2025-12-04,Rafael Ramos,0
2025-12-04,Isabela da Paz,0
2025-12-04,Cecilia Costela,0
2025-12-04,Ana Laura Vargas,1
2025-12-04,Anthony Nogueira,1
2025-12-04,Benjamin Moraes,0
2025-12-04,Evelyn da Cruz,2
2025-12-05,Liz Guerra,0
2025-12-05,Leonardo Sales,1
2025-12-05,Francisco da Paz,2
2025-12-05,Luiz Miguel Albuquerque,0
2025-12-05,Brayan Teixeira,2
2025-12-05,Rafael Ramos,1
2025-12-05,Isabela da Paz,0
2025-12-05,Cecilia Costela,2
2025-12-05,Ana Laura Vargas,1
2025-12-05,Anthony Nogueira,0
2025-12-05,Benjamin Moraes,0
2025-12-05,Evelyn da Cruz,0
2025-12-08,Liz Guerra,1
2025-12-08,Leonardo Sales,0
